name	dist_sep	flux	flux_err	eflux	eflux_err	index	index_err	gal_pref	gal_pref_err	iso_norm	iso_norm_err	flux_ul	eflux_ul	TS
GZ587739405700169872	0.298	7.61e-11	2.66e-11	2.73e-07	1.06e-07	2.31	0.3	1.29	0.11	0.86	0.12	1.17e-10	4.19e-07	19.54
UN587738572994248708	0.328	2.15e-11	1.24e-11	5.53e-07	3.53e-07	1.45	0.32	1.07	0.12	1.0	0.12	3.86e-11	9.94e-07	19.37
GZ587742863676473544	0.336	1.03e-10	2.96e-11	2.64e-07	8.9e-08	2.61	0.32	0.95	0.05	1.25	0.07	1.52e-10	3.91e-07	19.2
RCS0357_05932	0.026	6.87e-11	2.82e-11	4.3e-07	2e-07	2.0	0.26	0.85	0.02	1.3	0.05	1.11e-10	6.92e-07	19.19
RCS2143_10925	0.033	2.44e-11	1.94e-11	5.43e-07	3.51e-07	1.5	0.39	1.06	0.03	0.92	0.09	4.67e-11	1.04e-06	18.87
RCS1111_06425	0.104	6.55e-11	2.73e-11	4.34e-07	2.12e-07	1.97	0.27	1.1	0.06	1.18	0.1	1.06e-10	7.01e-07	18.65
RCS0357_05940	0.049	7.37e-11	2.65e-11	3.08e-07	1.3e-07	2.21	0.28	0.89	0.03	1.2	0.07	1.15e-10	4.81e-07	18.63
UN587725474419703935	0.146	5.55e-11	1.82e-11	2.43e-07	1.09e-07	2.18	0.26	0.99	0.04	0.91	0.04	8.6e-11	3.76e-07	18.61
UN587737808501014698	0.463	4.38e-11	2.02e-11	3.48e-07	1.76e-07	1.89	0.26	1.09	0.03	0.83	0.06	7.34e-11	5.83e-07	18.48
RCS1111_06967	0.485	8.05e-11	3.3e-11	3.47e-07	1.46e-07	2.19	0.32	1.07	0.06	1.23	0.12	1.26e-10	5.43e-07	18.39
RCS1514_07666	0.065	1.44e-10	7.39e-11	2.25e-07	1.41e-07	3.76	0.62	0.83	0.04	1.32	0.09	2.09e-10	3.28e-07	18.03
GZ587722982284853290	0.445	8.97e-11	2.99e-11	3.41e-07	1.43e-07	2.27	0.29	0.64	0.05	1.58	0.1	1.38e-10	5.23e-07	17.93
UN587733441049788590	0.103	7e-11	2.25e-11	2.2e-07	8.92e-08	2.41	0.34	0.79	0.06	1.27	0.07	1.06e-10	3.35e-07	17.74
GZ587732050551963738	0.39	8.16e-11	2.7e-11	2.42e-07	1.01e-07	2.47	0.4	0.93	0.04	1.12	0.07	1.24e-10	3.67e-07	17.48
J025942.67+000141.18	0.042	1.25e-10	3.82e-11	2.86e-07	8.6e-08	2.76	0.2	0.92	0.02	1.12	0.05	1.86e-10	4.25e-07	17.36
UN588017111834886174	0.113	5.01e-11	2.01e-11	2.83e-07	1.41e-07	2.05	0.29	1.28	0.12	0.85	0.11	8.02e-11	4.52e-07	17.09
RCS0133_01796	0.467	6.42e-11	2.57e-11	3.38e-07	1.61e-07	2.08	0.28	1.14	0.06	0.89	0.08	1.04e-10	5.46e-07	17.02
GZ587732701257990174	0.13	8.6e-11	2.9e-11	3.24e-07	1.35e-07	2.28	0.28	0.99	0.04	1.32	0.07	1.33e-10	5.01e-07	16.9
RCS2329_13118	0.009	4.34e-11	1.97e-11	5.84e-07	3.41e-07	1.68	0.26	0.91	0.05	1.09	0.11	7.37e-11	9.92e-07	16.9
GZ587728947977912403	0.294	1.2e-10	3.76e-11	2.81e-07	9.55e-08	2.73	0.41	1.13	0.06	1.11	0.11	1.79e-10	4.21e-07	16.89
RCS2338_15035	0.084	4.28e-11	1.8e-11	4e-07	2.33e-07	1.82	0.26	0.95	0.09	0.98	0.1	7.22e-11	6.75e-07	16.88
UN587728677396873297	0.0	8.33e-11	4.74e-11	1.28e-07	8.92e-08	3.85	0.74	1.25	0.1	0.92	0.1	1.24e-10	1.9e-07	16.8
MRK1066	0.0	1.45e-10	3.97e-11	2.58e-07	7.7e-08	3.27	0.42	0.95	0.01	1.02	0.06	2.12e-10	3.79e-07	16.59
GZ587732703409537182	0.195	1e-10	3.03e-11	2.12e-07	6.98e-08	2.89	0.42	0.96	0.04	1.29	0.06	1.51e-10	3.2e-07	16.58
UN587739406236450949	0.349	5.4e-11	2.2e-11	2.66e-07	1.35e-07	2.12	0.32	1.25	0.11	0.9	0.11	8.77e-11	4.31e-07	16.5
GZ587742578055184489	0.46	9.2e-11	2.97e-11	2.09e-07	7.29e-08	2.78	0.47	0.81	0.04	1.24	0.06	1.39e-10	3.16e-07	16.49
GZ587729776906469495	0.439	9.04e-11	3.18e-11	3.72e-07	1.59e-07	2.22	0.28	0.89	0.04	1.21	0.1	1.41e-10	5.78e-07	16.37
GZ588017566563500156	0.134	8.76e-11	2.99e-11	2.67e-07	1.07e-07	2.44	0.34	0.84	0.05	1.29	0.07	1.35e-10	4.13e-07	16.11
GZ587741722822967379	0.254	3.53e-11	1.75e-11	4.04e-07	2.34e-07	1.74	0.28	1.04	0.12	1.08	0.11	6.12e-11	7e-07	16.02
J000646.74-003652.62	0.182	1.04e-10	3.13e-11	2.32e-07	8.12e-08	2.81	0.39	0.92	0.07	1.01	0.11	1.58e-10	3.5e-07	15.98
RCS0357_05401	0.473	5.75e-11	2.61e-11	4.09e-07	2.15e-07	1.94	0.28	0.86	0.02	1.11	0.05	9.66e-11	6.88e-07	15.95
UN587736976880632044	0.16	3.19e-11	1.4e-11	3.64e-07	2.18e-07	1.75	0.26	0.65	0.04	1.33	0.06	5.47e-11	6.24e-07	15.89
GZ587728676861182142	0.19	2.08e-11	1.63e-11	4.52e-07	2.9e-07	1.51	0.39	1.18	0.1	0.94	0.1	3.89e-11	8.45e-07	15.84
RCS1645_10147	0.188	1.04e-10	3.48e-11	3.05e-07	1.16e-07	2.48	0.37	0.81	0.05	1.23	0.07	1.57e-10	4.59e-07	15.79
RCS0357_05901	0.161	2.4e-11	1.53e-11	6.37e-07	4.17e-07	1.44	0.33	0.91	0.03	1.13	0.08	4.54e-11	1.21e-06	15.65
RCS0133_02857	0.145	8.73e-11	2.89e-11	2.31e-07	8.8e-08	2.58	0.38	1.15	0.07	0.86	0.1	1.34e-10	3.55e-07	15.6
J113630.48+010220.90	0.247	1.13e-10	3.6e-11	2.32e-07	7.73e-08	2.95	0.49	1.09	0.05	1.12	0.08	1.71e-10	3.5e-07	15.5
GZ587730773872345378	0.044	9.23e-11	3.25e-11	2.99e-07	1.25e-07	2.39	0.35	1.05	0.03	0.9	0.1	1.43e-10	4.63e-07	15.41
RCS0357_05053	0.435	1.98e-11	1.29e-11	5.15e-07	3.5e-07	1.45	0.33	0.9	0.04	1.05	0.08	3.84e-11	9.97e-07	15.35
RCS1111_06622	0.228	7.23e-11	3e-11	2.8e-07	1.23e-07	2.26	0.34	1.04	0.06	1.23	0.11	1.17e-10	4.51e-07	15.34
GZ587736976889545018	0.487	6.67e-11	2.88e-11	2.88e-07	1.28e-07	2.19	0.32	0.99	0.03	1.06	0.09	1.08e-10	4.68e-07	15.06
GZ587742550147137571	0.26	1.84e-11	1.81e-11	4.76e-07	3.44e-07	1.45	0.48	0.84	0.04	1.39	0.09	3.78e-11	9.77e-07	14.98
RCS0047_00186	0.452	7.88e-11	2.93e-11	2.8e-07	1.27e-07	2.32	0.34	1.09	0.06	0.92	0.09	1.25e-10	4.45e-07	14.9
UN587739099137572941	0.428	7.95e-11	2.43e-11	1.54e-07	5.31e-08	3.06	0.47	1.39	0.12	0.72	0.12	1.21e-10	2.35e-07	14.85
GZ587732772132880500	0.209	3.96e-12	2.92e-11	6.8e-07	6.27e-06	0.52	1.73	0.91	0.01	1.17	0.01	9.9e-12	1.7e-06	14.84
GZ587737808495313051	0.321	3.82e-11	1.77e-11	4.01e-07	2.3e-07	1.78	0.27	1.1	0.04	0.69	0.09	6.47e-11	6.8e-07	14.8
GT1237662498390737019	0.096	7.56e-11	2.31e-11	1.47e-07	5.1e-08	3.05	0.47	1.0	0.08	0.97	0.09	1.15e-10	2.25e-07	14.66
UN588017604699422948	0.408	6.96e-11	2.36e-11	1.8e-07	7.13e-08	2.61	0.42	0.51	0.05	1.43	0.06	1.08e-10	2.79e-07	14.65
GZ588017978373111883	0.07	7.29e-11	2.54e-11	2.03e-07	7.86e-08	2.53	0.36	0.84	0.04	1.11	0.07	1.14e-10	3.17e-07	14.55
GZ587726032782688396	0.475	8.13e-11	3.11e-11	2.72e-07	1.21e-07	2.37	0.39	0.94	0.04	1.35	0.06	1.28e-10	4.29e-07	14.41
UN588017115593113646	0.185	4.81e-11	1.9e-11	1.78e-07	8.46e-08	2.29	0.34	0.85	0.08	1.12	0.09	7.86e-11	2.91e-07	14.26
UN587737933581648321	0.092	7.05e-11	2.98e-11	3.25e-07	1.57e-07	2.16	0.33	1.05	0.03	0.87	0.08	1.14e-10	5.24e-07	14.26
GZ587739720309276998	0.335	8.49e-11	2.99e-11	2.58e-07	1.05e-07	2.45	0.34	0.89	0.03	1.33	0.11	1.33e-10	4.04e-07	14.22
GZ587742577515429988	0.37	9.54e-11	3.93e-10	1.27e-07	5.25e-07	5.0	0.18	0.87	0.03	1.24	0.04	1.45e-10	1.93e-07	14.16
